Date,Close
6/4/2018,39.07
6/5/2018,40.04
6/6/2018,39.95
6/7/2018,40.45
6/8/2018,40.29
6/11/2018,40.49
6/12/2018,40.45
6/13/2018,39.33
6/14/2018,39
6/15/2018,38.89
6/18/2018,38.86
6/19/2018,39.18
6/20/2018,39.26
6/21/2018,38.01
6/22/2018,38.09
6/25/2018,37.11
6/26/2018,37.07
6/27/2018,36.3
6/28/2018,36.14
6/29/2018,36.26
7/2/2018,36.67
7/3/2018,36.64
7/5/2018,37.03
7/6/2018,37.39
7/9/2018,37.91
7/10/2018,37.04
7/11/2018,36.98
7/12/2018,37.55
7/13/2018,37.61
7/16/2018,37.73
7/17/2018,37.81
7/18/2018,37.95
7/19/2018,34.11
7/20/2018,34.2
7/23/2018,33.79
7/24/2018,33.52
7/25/2018,33.89
7/26/2018,34.43
7/27/2018,33.81
7/30/2018,33.67
7/31/2018,33.45
8/1/2018,33.09
8/2/2018,33.22
8/3/2018,33.66
8/6/2018,33.99
8/7/2018,33.78
8/8/2018,33.84
8/9/2018,34.15
8/10/2018,34.09
8/13/2018,33.88
8/14/2018,34.4
8/15/2018,33.86
8/16/2018,33.77
8/17/2018,34.01
8/20/2018,34.02
8/21/2018,34.53
8/22/2018,34.7
8/23/2018,34.4
8/24/2018,34.53
8/27/2018,34.58
8/28/2018,34.74
8/29/2018,34.93
8/30/2018,34.8
8/31/2018,34.61
9/4/2018,34.8
9/5/2018,34.13
9/6/2018,33.66
9/7/2018,33.99
9/10/2018,33.71
9/11/2018,34.11
9/12/2018,34.26
9/13/2018,34.44
9/14/2018,34.1
9/17/2018,34.2
9/18/2018,34.12
9/19/2018,34.22
9/20/2018,34.24
9/21/2018,34.04
9/24/2018,33.72
9/25/2018,32.76
9/26/2018,33.58
9/27/2018,33.34
9/28/2018,33.02
10/1/2018,32.51
10/2/2018,32.56
10/3/2018,32.75
10/4/2018,32.63
10/5/2018,32.24
10/8/2018,32.58
10/9/2018,33.28
10/10/2018,31.67
10/11/2018,31.4
10/12/2018,31.72
10/15/2018,31.86
10/16/2018,32.25
10/17/2018,32.02
10/18/2018,31.55
10/19/2018,28.75
10/22/2018,28.49
10/23/2018,28.19
10/24/2018,27.29
10/25/2018,28.06
10/26/2018,27.34
10/29/2018,26.82
10/30/2018,27.42
10/31/2018,29.03
11/1/2018,29.52
11/2/2018,29.87
11/5/2018,29.64
11/6/2018,29.95
11/7/2018,29.86
11/8/2018,29.84
11/9/2018,29.63
11/12/2018,28.96
11/13/2018,28.1
11/14/2018,27.89
11/15/2018,28.17
11/16/2018,28.12
11/19/2018,27.96
11/20/2018,28.16
11/21/2018,28.34
11/23/2018,28.44
11/26/2018,28.8
11/27/2018,28.74
11/28/2018,29.76
11/29/2018,29.52
11/30/2018,29.85
12/3/2018,30.2
12/4/2018,29.26
12/6/2018,29.47
12/7/2018,29.06
12/10/2018,28.98
12/11/2018,29.05
12/12/2018,29.04
12/13/2018,29.02
12/14/2018,28.91
12/17/2018,28.48
12/18/2018,28.5
12/19/2018,28.3
12/20/2018,27.99
12/21/2018,26.58
12/24/2018,26.14
12/26/2018,27.85
12/27/2018,28.03
12/28/2018,28.24
12/31/2018,28.07
1/2/2019,28.85
1/3/2019,28.32
1/4/2019,28.97
1/7/2019,29.47
1/8/2019,30
1/9/2019,30.29
1/10/2019,30.57
1/11/2019,30.41
1/14/2019,30.21
1/15/2019,30.67
1/16/2019,30.29
1/17/2019,30.38
1/18/2019,31
1/22/2019,32.9
1/23/2019,32.61
1/24/2019,32.65
1/25/2019,33.72
1/28/2019,34.02
1/29/2019,33.69
